ep-829488 FCC(F)(OC(F)(F)F)C(F)(F)F
ep-872772 FC1OC2(F)C(F)(F)OC2(F)C1F
ep-872773 FC1(F)CC2(F)OC(F)(F)C2(F)O1
ep-872774 FC1OC2(F)C1OC(F)(F)C2(F)F
ep-872775 FC1OC2(F)C(F)OC2(F)C1(F)F
ep-872776 FC1OC2(F)C(F)C(F)(F)OC12F
ep-872777 FC1(F)OC2(F)COC2(F)C1(F)F
ep-872778 FC1(F)OC2C1OC(F)(F)C2(F)F
ep-872779 FC1OC2(F)C(OC2(F)F)C1(F)F
ep-872780 FC1C2OC(F)(F)C2(F)OC1(F)F
ep-872781 FC1OC2C1(F)OC(F)(F)C2(F)F
ep-872782 FC(F)(F)C1(F)C2(F)COC1(F)O2
ep-872783 FC1OC2(F)OC1(F)C2(F)C(F)F
ep-872784 FCC1(F)C2(F)OC(F)(F)C1(F)O2
ep-872785 FC1OC2(F)OC1(F)C2C(F)(F)F
ep-872786 FC(F)C1C2(F)OC(F)(F)C1(F)O2
ep-872787 FC1OC2(F)OC1C2(F)C(F)(F)F
ep-872788 FC(F)C1(F)C2OC1(F)OC2(F)F
ep-872789 FC(F)(F)C1C2OC1(F)OC2(F)F
ep-872790 FC1OC2OC1(F)C2(F)C(F)(F)F
ep-872791 FC(F)C1(F)C2OC(F)(F)C1(F)O2
ep-872792 FC(F)(F)C1C2OC(F)(F)C1(F)O2
ep-872793 FC1(F)OC2OC1C2(F)C(F)(F)F
ep-872794 FC1=C2OC(F)(OC2(F)F)C1(F)F
ep-872803 FC1(F)OCC2(F)OC(F)(F)C12F
ep-872804 FC1OC(F)C2(F)C(F)(F)OC12F
ep-872805 FC1(F)OC2(F)C(F)(F)OCC12F
ep-872806 FC1OC(F)(F)C2C(F)(F)OC12F
ep-872807 FC1OC(F)(F)C2(F)OC(F)(F)C12
ep-872808 FC1OC(F)(F)C2(F)C1OC2(F)F
ep-872809 FC1OC(F)(F)C2OC(F)(F)C12F
ep-872810 FC1(F)OC(F)(F)C2C1OC2(F)F
ep-872811 FC1OC(F)(F)C2(F)C(F)OC12F
ep-872812 FC1OC(F)(F)C2(F)OC(F)C12F
ep-872813 FC1OC2(F)C1C(F)(F)OC2(F)F
ep-872814 FC1OC2C(F)(F)OC(F)(F)C12F
ep-872815 FC1(F)OC(F)(F)C2(F)OCC12F
ep-872821 C=C(F)C12OC1(F)C(F)(F)C2(F)F
ep-872822 FC=CC12OC1(F)C(F)(F)C2(F)F
ep-872823 FC=C(F)C12OC1(F)C(F)(F)C2F
ep-872824 FC(F)=CC12OC1(F)C(F)(F)C2F
ep-872825 FC(F)=C(F)C12CC(F)(F)C1(F)O2
ep-872826 FC=C(F)C12OC1(F)C(F)C2(F)F
ep-872827 FC(F)=CC12OC1(F)C(F)C2(F)F
ep-872828 FC(F)=C(F)C12OC1(F)C(F)C2F
ep-872829 FC(F)=C(F)C12OC1(F)CC2(F)F
ep-872830 FC=C(F)C12OC1C(F)(F)C2(F)F
ep-872831 FC(F)=CC12OC1C(F)(F)C2(F)F
ep-872832 FC(F)=C(F)C12OC1C(F)(F)C2F
ep-872833 FC(F)=C(F)C12OC1C(F)C2(F)F
ep-872834 C=C1C2(F)OC2(F)C1(F)C(F)(F)F
ep-872835 FC=C1C2(F)OC2(F)C1(F)C(F)F
ep-872836 FCC1(F)C(=C(F)F)C2(F)OC12F
ep-872837 FC=C1C(C(F)(F)F)C2(F)OC12F
ep-872838 FC(F)=C1C(C(F)F)C2(F)OC12F
ep-872839 FC=C1C2OC2(F)C1(F)C(F)(F)F
ep-872840 FC(F)=C1C2OC2(F)C1(F)C(F)F
ep-872841 FC(F)=C1C2OC2(F)C1C(F)(F)F
ep-872842 FC=C1C2(F)OC2C1(F)C(F)(F)F
ep-872843 FC(F)=C1C2(F)OC2C1(F)C(F)F
ep-872844 FC(F)=C1C(C(F)(F)F)C2OC12F
ep-872845 FC(F)=C1C2OC2C1(F)C(F)(F)F
ep-872846 FC1(F)C=CC2(F)OC2(F)C1(F)F
ep-872847 FC1=CC(F)C(F)(F)C2(F)OC12F
ep-872848 FC1=CC2(F)OC2(F)C(F)(F)C1F
ep-872849 FC1=C(F)C2(F)OC2(F)C(F)(F)C1
ep-872850 FC1=CC(F)(F)C(F)C2(F)OC12F
ep-872851 FC1=CC2(F)OC2(F)C(F)C1(F)F
ep-872852 FC1=C(F)C2(F)OC2(F)C(F)C1F
ep-872853 FC1=C(F)C2(F)OC2(F)CC1(F)F
ep-872854 FC1=CC(F)(F)C(F)(F)C2(F)OC12
ep-872855 FC1=CC2OC2(F)C(F)(F)C1(F)F
ep-872856 FC1=C(F)C2OC2(F)C(F)(F)C1F
ep-872857 FC1=C(F)C(F)(F)C(F)C2(F)OC12
ep-872858 FC1=CC(F)(F)C(F)(F)C2OC12F
ep-872859 FC1=CC2(F)OC2C(F)(F)C1(F)F
ep-872860 FC1=C(F)C2(F)OC2C(F)(F)C1F
ep-872861 FC1=C(F)C2(F)OC2C(F)C1(F)F
ep-872862 FC1=C(F)C(F)(F)C(F)(F)C2OC12
ep-872863 FC1(F)C=CC2(O1)C(F)(F)C2(F)F
ep-872864 FC1=CC2(OC1(F)F)C(F)C2(F)F
ep-872865 FC1=CC(F)(F)OC12C(F)C2(F)F
ep-872866 FC1=C(F)C2(CC2(F)F)OC1(F)F
ep-872867 FC1=C(F)C2(OC1(F)F)C(F)C2F
ep-872868 FC1=CC2(OC1F)C(F)(F)C2(F)F
ep-872869 FC1=CC(F)OC12C(F)(F)C2(F)F
ep-872870 FC1=C(F)C2(OC1F)C(F)C2(F)F
ep-872871 FC1=C(F)C2(OC1)C(F)(F)C2(F)F
ep-872872 C=C(F)C1(F)OC2(F)C(F)(F)C12F
ep-872873 FC=CC1(F)OC2(F)C(F)(F)C12F
ep-872874 FC=C(F)C1(F)OC2(F)C(F)C12F
ep-872875 FC(F)=CC1(F)OC2(F)C(F)C12F
ep-872876 FC(F)=C(F)C1(F)OC2(F)CC21F
ep-872877 FC=C(F)C1(F)OC2(F)C1C2(F)F
ep-872878 FC(F)=CC1(F)OC2(F)C1C2(F)F
ep-872879 FC(F)=C(F)C1(F)OC2(F)C(F)C12
ep-872880 FC=C(F)C1OC2(F)C(F)(F)C12F
ep-872881 FC(F)=CC1OC2(F)C(F)(F)C12F
ep-872882 FC(F)=C(F)C1OC2(F)C(F)C12F
ep-872883 FC(F)=C(F)C1OC2(F)C1C2(F)F
ep-872884 FC=C(F)C1(F)OC2C(F)(F)C21F
ep-872885 FC(F)=CC1(F)OC2C(F)(F)C21F
ep-872886 FC(F)=C(F)C1(F)OC2C(F)C21F
ep-872887 FC(F)=C(F)C1(F)OC2C1C2(F)F
ep-872888 FC(F)=C(F)C1OC2C(F)(F)C12F
ep-872889 FC1(F)C=CC2(F)C(F)(F)C2(F)O1
ep-872890 FC1=CC2(F)C(F)C2(F)OC1(F)F
ep-872891 FC1=CC(F)(F)OC2(F)C(F)C12F
ep-872892 FC1=C(F)C2(F)CC2(F)OC1(F)F
ep-872893 FC1=CC2C(F)(F)C2(F)OC1(F)F
ep-872894 FC1=CC(F)(F)OC2(F)C1C2(F)F
ep-872895 FC1=C(F)C(F)(F)OC2(F)C(F)C12
ep-872896 FC1=CC2(F)C(F)(F)C2(F)OC1F
ep-872897 FC1=CC(F)OC2(F)C(F)(F)C12F
ep-872898 FC1=C(F)C2(F)C(F)C2(F)OC1F
ep-872899 FC1=C(F)C2C(F)(F)C2(F)OC1F
ep-872900 FC1=C(F)C2(F)C(F)(F)C2(F)OC1
ep-872901 FC1=CC2(F)C(OC1(F)F)C2(F)F
ep-872902 FC1=CC(F)(F)OC2C(F)(F)C12F
ep-872903 FC1=C(F)C2(F)C(F)C2OC1(F)F
ep-872904 FC1=C(F)C(F)(F)OC2C1C2(F)F
ep-872905 FC1=C(F)C2(F)C(OC1F)C2(F)F
ep-872906 FC(F)(F)C1(F)C2(F)C=CC1(F)O2
ep-872907 FC1=CC2(F)OC1(F)C2(F)C(F)F
ep-872908 FCC1(F)C2(F)OC1(F)C(F)=C2F
ep-872909 FC1=CC2(F)OC1(F)C2C(F)(F)F
ep-872910 FC1=C(F)C2(F)OC1(F)C2C(F)F
ep-872911 FC1=CC2(F)OC1C2(F)C(F)(F)F
ep-872912 FC1=CC2OC1(F)C2(F)C(F)(F)F
ep-872913 FC1=C(F)C2(F)OC1C2(F)C(F)F
ep-872914 FC1=C(F)C2(F)OC1C2C(F)(F)F
ep-872915 FC1=C(F)C2OC1C2(F)C(F)(F)F
ep-872916 FC12C=CC(F)(O1)C(F)(F)C2(F)F
ep-872917 FC1=CC2(F)OC1(F)C(F)C2(F)F
ep-872918 FC1=CC2(F)OC1(F)C(F)(F)C2F
ep-872919 FC1=C(F)C2(F)OC1(F)CC2(F)F
ep-872920 FC1=C(F)C2(F)OC1(F)C(F)C2F
ep-872921 FC1=CC2(F)OC1C(F)(F)C2(F)F
ep-872922 FC1=CC2OC1(F)C(F)(F)C2(F)F
ep-872923 FC1=C(F)C2(F)OC1C(F)C2(F)F
ep-872924 FC1=C(F)C2(F)OC1C(F)(F)C2F
ep-872925 FC1=C(F)C2OC1C(F)(F)C2(F)F
ep-872926 C=C(F)C12OC(F)(F)C1(F)C2(F)F
ep-872927 FC=CC12OC(F)(F)C1(F)C2(F)F
ep-872928 FC=C(F)C12OC(F)(F)C1(F)C2F
ep-872929 FC(F)=CC12OC(F)(F)C1(F)C2F
ep-872930 FC(F)=C(F)C12CC1(F)C(F)(F)O2
ep-872931 FC=C(F)C12OC(F)(F)C1C2(F)F
ep-872932 FC(F)=CC12OC(F)(F)C1C2(F)F
ep-872933 FC(F)=C(F)C12OC(F)(F)C1C2F
ep-872934 FC=C(F)C12OC(F)C1(F)C2(F)F
ep-872935 FC(F)=CC12OC(F)C1(F)C2(F)F
ep-872936 FC(F)=C(F)C12OC(F)C1(F)C2F
ep-872937 FC(F)=C(F)C12OC(F)C1C2(F)F
ep-872938 FC(F)=C(F)C12OCC1(F)C2(F)F
ep-872939 FC1=C(F)C2(F)C(F)=C1OC2(F)F
ep-872940 FC#CC12OC1(F)C(F)(F)C2(F)F
ep-872941 FC1(F)C#CC2(F)OC2(F)C1(F)F
ep-872942 FC1(F)C#CC2(O1)C(F)(F)C2(F)F
ep-872943 FC#CC1(F)OC2(F)C(F)(F)C12F
ep-872944 FC(F)(F)C1(F)C2(F)C#CC1(F)O2
ep-872945 FC12C#CC(F)(O1)C(F)(F)C2(F)F
ep-872946 FC#CC12OC(F)(F)C1(F)C2(F)F
ep-872947 CC12OC(F)(C(F)F)C1(F)C2(F)F
ep-872948 FCC1(F)OC2(CF)C(F)(F)C12F
ep-872949 CC1(F)OC2(C(F)F)C(F)(F)C12F
ep-872950 CC12OC(F)(C(F)(F)F)C1(F)C2F
ep-872951 FCC12OC(F)(C(F)F)C1(F)C2F
ep-872952 FCC1(F)OC2(C(F)F)C(F)C12F
ep-872953 CC1(F)OC2(C(F)(F)F)C(F)C12F
ep-872954 FCC12CC1(F)C(F)(C(F)(F)F)O2
ep-872955 FC(F)C1(F)OC2(C(F)F)CC12F
ep-872956 FCC1(F)OC2(C(F)(F)F)CC12F
ep-872957 CC12OC(F)(C(F)(F)F)C1C2(F)F
ep-872958 FCC12OC(F)(C(F)F)C1C2(F)F
ep-872959 FCC1(F)OC2(C(F)F)C1C2(F)F
ep-872960 CC1(F)OC2(C(F)(F)F)C1C2(F)F
ep-872961 FCC12OC(F)(C(F)(F)F)C1C2F
ep-872962 FC(F)C1(F)OC2(C(F)F)C(F)C12
ep-872963 FCC1(F)OC2(C(F)(F)F)C(F)C12
ep-872964 FC(F)C12CC1C(F)(C(F)(F)F)O2
ep-872965 FC(F)C1(F)OC2(C(F)(F)F)CC12
ep-872966 CC12OC(C(F)(F)F)C1(F)C2(F)F
ep-872967 FCC12OC(C(F)F)C1(F)C2(F)F
ep-872968 FCC1OC2(C(F)F)C(F)(F)C12F
ep-872969 CC1OC2(C(F)(F)F)C(F)(F)C12F
ep-872970 FCC12OC(C(F)(F)F)C1(F)C2F
ep-872971 FC(F)C1OC2(C(F)F)C(F)C12F
ep-872972 FCC1OC2(C(F)(F)F)C(F)C12F
ep-872973 FC(F)C12CC1(F)C(C(F)(F)F)O2
ep-872974 FC(F)C1OC2(C(F)(F)F)CC12F
ep-872975 FCC12OC(C(F)(F)F)C1C2(F)F
ep-872976 FC(F)C1OC2(C(F)F)C1C2(F)F
ep-872977 FCC1OC2(C(F)(F)F)C1C2(F)F
ep-872978 FC(F)C12OC(C(F)(F)F)C1C2F
ep-872979 FC(F)C1OC2(C(F)(F)F)C(F)C12
ep-872980 FC(F)(F)C1OC2(C(F)(F)F)CC12
ep-872981 CC1(C(F)(F)F)OC2(F)C(F)C21F
ep-872982 FCC1(C(F)(F)F)OC2(F)CC21F
ep-872983 CC1(C(F)F)OC2(F)C(F)(F)C12F
ep-872984 FCC1(C(F)F)OC2(F)C(F)C21F
ep-872985 FC(F)C1(C(F)F)OC2(F)CC21F
ep-872986 FCC1(CF)OC2(F)C(F)(F)C12F
ep-872987 CC1(C(F)(F)F)OC2(F)C1C2(F)F
ep-872988 FCC1(C(F)(F)F)OC2(F)C(F)C21
ep-872989 FC(F)C1(C(F)(F)F)OC2(F)CC21
ep-872990 FCC1(C(F)F)OC2(F)C1C2(F)F
ep-872991 FC1C2C1(F)OC2(C(F)F)C(F)F
ep-872992 CC1(C(F)(F)F)OC2C(F)(F)C21F
ep-872993 FCC1(C(F)(F)F)OC2C(F)C21F
ep-872994 FC(F)C1(C(F)(F)F)OC2CC21F
ep-872995 FCC1(C(F)F)OC2C(F)(F)C21F
ep-872996 FC1C2OC(C(F)F)(C(F)F)C12F
ep-872997 FCC1(C(F)(F)F)OC2C1C2(F)F
ep-872998 FC1C2OC(C(F)F)(C(F)(F)F)C12
ep-872999 FC(F)(F)C1(C(F)(F)F)OC2CC21
ep-873000 FC(F)C1(C(F)F)OC2C1C2(F)F
ep-873001 FCC12OC(F)(F)C(F)=C1C2(F)F
ep-873002 FC(F)C12OC(F)(F)C=C1C2(F)F
ep-873003 FC1=C2C(F)C2(C(F)F)OC1(F)F
ep-873004 FC1C2=CC(F)(F)OC21C(F)(F)F
ep-873005 FC1=C2CC2(C(F)(F)F)OC1(F)F
ep-873006 FC1=C2C(F)(F)C2(C(F)F)OC1F
ep-873007 FC1C=C2C(F)(F)C2(C(F)(F)F)O1
ep-873008 FC1=C2C(F)C2(C(F)(F)F)OC1F
ep-873009 FC1=C2C(F)(F)C2(C(F)(F)F)OC1
ep-873018 FC12CC(F)(F)C(C(F)(F)F)(O1)O2
ep-873019 FC1C2(F)OC(C(F)F)(O2)C1(F)F
ep-873020 FCC12OC(F)(O1)C(F)(F)C2(F)F
ep-873021 FC1C(F)C2(C(F)(F)F)OC1(F)O2
ep-873022 FC(F)C12OC(F)(O1)C(F)(F)C2F
ep-873023 FC(F)(F)C12CC(F)(F)C(F)(O1)O2
ep-873024 FC1C2OC(C(F)(F)F)(O2)C1(F)F
ep-873025 FC(F)C12OC(O1)C(F)(F)C2(F)F
ep-873026 FC1C(F)(F)C2OC1(C(F)(F)F)O2
ep-873027 FC1=C(F)C2(C(F)(F)F)OC1(F)O2
ep-873028 FC1(F)CC2(F)OC2(C(F)(F)F)O1
ep-873029 FC1C(F)(F)OC2(C(F)F)OC12F
ep-873030 FCC12OC(F)(F)C(F)(F)C1(F)O2
ep-873031 FC1C2OC2(C(F)(F)F)OC1(F)F
ep-873032 FC(F)C12OC1C(F)(F)C(F)(F)O2
ep-873033 FC1OC2(C(F)(F)F)OC2(F)C1F
ep-873034 FC1OC2(C(F)F)OC2(F)C1(F)F
ep-873035 FC1OC2(C(F)(F)F)OC2C1(F)F
ep-873036 FC(F)(F)C12OCC(F)(F)C1(F)O2
ep-873037 CC12OC1(C(F)(F)F)C(F)(F)C2F
ep-873038 FCC12CC(F)(F)C1(C(F)(F)F)O2
ep-873039 CC12OC1(C(F)F)C(F)(F)C2(F)F
ep-873040 FCC12OC1(C(F)F)C(F)(F)C2F
ep-873041 FC(F)C12CC(F)(F)C1(C(F)F)O2
ep-873042 FCC12OC1(CF)C(F)(F)C2(F)F
ep-873043 FCC12OC1(C(F)F)C(F)C2(F)F
ep-873044 FCC12OC1(C(F)(F)F)CC2(F)F
ep-873045 CC12OC1(C(F)(F)F)C(F)C2(F)F
ep-873046 FCC12OC1(C(F)(F)F)C(F)C2F
ep-873047 FC(F)C12CC(F)C1(C(F)(F)F)O2
ep-873048 FC(F)C12OC1(C(F)F)C(F)C2F
ep-873049 FC(F)C12OC1(C(F)(F)F)CC2F
ep-873050 FC(F)(F)C12CCC1(C(F)(F)F)O2
ep-873051 CC1(F)OC2(F)C(F)(F)C2(F)C1F
ep-873052 FCC1(F)CC2(F)C(F)(F)C2(F)O1
ep-873053 CC1(F)OC2(F)C(F)C2(F)C1(F)F
ep-873054 FCC1(F)OC2(F)C(F)C2(F)C1F
ep-873055 FC(F)C1(F)CC2(F)C(F)C2(F)O1
ep-873056 FCC1(F)OC2(F)CC2(F)C1(F)F
ep-873057 FC(F)C1(F)OC2(F)CC2(F)C1F
ep-873058 FC(F)(F)C1(F)CC2(F)CC2(F)O1
ep-873059 CC1(F)OC2(F)C(C1(F)F)C2(F)F
ep-873060 FCC1(F)OC2(F)C(C1F)C2(F)F
ep-873061 FC(F)C1(F)CC2C(F)(F)C2(F)O1
ep-873062 FCC1(F)OC2(F)C(F)C2C1(F)F
ep-873063 FC(F)C1(F)OC2(F)C(F)C2C1F
ep-873064 FC1C2CC(F)(C(F)(F)F)OC12F
ep-873065 FC(F)C1(F)OC2(F)CC2C1(F)F
ep-873066 FC1C2CC2(F)OC1(F)C(F)(F)F
ep-873067 CC1OC2(F)C(F)(F)C2(F)C1(F)F
ep-873068 FCC1OC2(F)C(F)(F)C2(F)C1F
ep-873069 FC(F)C1CC2(F)C(F)(F)C2(F)O1
ep-873070 FCC1OC2(F)C(F)C2(F)C1(F)F
ep-873071 FC(F)C1OC2(F)C(F)C2(F)C1F
ep-873072 FC1C2(F)CC(C(F)(F)F)OC12F
ep-873073 FC(F)C1OC2(F)CC2(F)C1(F)F
ep-873074 FC1C(C(F)(F)F)OC2(F)CC12F
ep-873075 FCC1OC2(F)C(C1(F)F)C2(F)F
ep-873076 FC(F)C1OC2(F)C(C1F)C2(F)F
ep-873077 FC(F)(F)C1CC2C(F)(F)C2(F)O1
ep-873078 FC(F)C1OC2(F)C(F)C2C1(F)F
ep-873079 FC1C(C(F)(F)F)OC2(F)C(F)C12
ep-873080 FC(F)(F)C1OC2(F)CC2C1(F)F
ep-873081 CC1(F)OC2C(F)(F)C2(F)C1(F)F
ep-873082 FCC1(F)OC2C(F)(F)C2(F)C1F
ep-873083 FC(F)C1(F)CC2(F)C(O1)C2(F)F
ep-873084 FCC1(F)OC2C(F)C2(F)C1(F)F
ep-873085 FC(F)C1(F)OC2C(F)C2(F)C1F
ep-873086 FC1C2OC(F)(C(F)(F)F)CC12F
ep-873087 FC(F)C1(F)OC2CC2(F)C1(F)F
ep-873088 FC1C2(F)CC2OC1(F)C(F)(F)F
ep-873089 FCC1(F)OC2C(C2(F)F)C1(F)F
ep-873090 FC(F)C1(F)OC2C(C1F)C2(F)F
ep-873091 FC1(F)C2CC(F)(C(F)(F)F)OC21
ep-873092 FC1C2OC(F)(C(F)F)C(F)(F)C12
ep-873093 FC1C2OC(F)(C(F)(F)F)C(F)C12
ep-873094 FC(F)(F)C1(F)OC2CC2C1(F)F
ep-873095 FCC1OC2C(F)(F)C2(F)C1(F)F
ep-873096 FC(F)C1OC2C(F)(F)C2(F)C1F
ep-873097 FC(F)(F)C1CC2(F)C(O1)C2(F)F
ep-873098 FC(F)C1OC2C(F)C2(F)C1(F)F
ep-873099 FC1C(C(F)(F)F)OC2C(F)C12F
ep-873100 FC(F)(F)C1OC2CC2(F)C1(F)F
ep-873101 FC(F)C1OC2C(C1(F)F)C2(F)F
ep-873102 FC1C(C(F)(F)F)OC2C1C2(F)F
ep-873103 FC1C2OC(C(F)(F)F)C(F)(F)C12
ep-873104 FC1=C(F)C2(F)OC1(F)C(F)=C2F
ep-873109 FC(F)C1(C(F)(F)F)OC2(F)OC21
ep-873110 FCC1(C(F)(F)F)OC2(F)OC21F
ep-873111 FC(F)C1(C(F)F)OC2(F)OC21F
ep-873112 FC(F)(F)C1(C(F)(F)F)OC2OC21
ep-873113 FC(F)C1(C(F)(F)F)OC2OC21F
ep-873118 CC1(F)C(F)C2(F)OC12C(F)(F)F
ep-873119 FCC1(F)CC2(F)OC12C(F)(F)F
ep-873120 CC1(F)C(F)(F)C2(F)OC12C(F)F
ep-873121 FCC1(F)C(F)C2(F)OC12C(F)F
ep-873122 FC(F)C1(F)CC2(F)OC21C(F)F
ep-873123 FCC1(F)C(F)(F)C2(F)OC12CF
ep-873124 FCC12OC1(F)C(F)C2(F)C(F)F
ep-873125 FCC12OC1(F)CC2(F)C(F)(F)F
ep-873126 CC12OC1(F)C(F)(F)C2(F)C(F)F
ep-873127 CC12OC1(F)C(F)C2(F)C(F)(F)F
ep-873128 CC1C(F)(F)C2(F)OC12C(F)(F)F
ep-873129 FCC1C(F)C2(F)OC12C(F)(F)F
ep-873130 FC(F)C1CC2(F)OC12C(F)(F)F
ep-873131 FCC1C(F)(F)C2(F)OC12C(F)F
ep-873132 FC(F)C1C(F)C2(F)OC12C(F)F
ep-873133 FC(F)C12OC1(F)CC2C(F)(F)F
ep-873134 FCC12OC1(F)C(F)(F)C2C(F)F
ep-873135 FCC12OC1(F)C(F)C2C(F)(F)F
ep-873136 CC12OC1(F)C(F)(F)C2C(F)(F)F
ep-873137 CC1(F)C(F)(F)C2OC21C(F)(F)F
ep-873138 FCC1(F)C(F)C2OC21C(F)(F)F
ep-873139 FC(F)C1(F)CC2OC21C(F)(F)F
ep-873140 FCC1(F)C(F)(F)C2OC21C(F)F
ep-873141 FC(F)C1(F)C(F)C2OC21C(F)F
ep-873142 FC(F)C12OC1CC2(F)C(F)(F)F
ep-873143 FCC12OC1C(F)(F)C2(F)C(F)F
ep-873144 FCC12OC1C(F)C2(F)C(F)(F)F
ep-873145 CC12OC1C(F)(F)C2(F)C(F)(F)F
ep-873146 FCC1C(F)(F)C2OC12C(F)(F)F
ep-873147 FC(F)C1C(F)C2OC21C(F)(F)F
ep-873148 FC(F)(F)C1CC2OC21C(F)(F)F
ep-873149 FC(F)C1C(F)(F)C2OC21C(F)F
ep-873150 FC1C2OC2(C(F)F)C1C(F)(F)F
ep-873151 FCC12OC1C(F)(F)C2C(F)(F)F
ep-873152 FC(F)(F)C12OC1(F)C=CC2(F)F
ep-873153 FC1=CC(F)(F)C2(C(F)F)OC12F
ep-873154 FC1=CC2(F)OC2(C(F)F)C1(F)F
ep-873155 FCC12OC1(F)C(F)=C(F)C2(F)F
ep-873156 FC1=CC(F)C2(C(F)(F)F)OC12F
ep-873157 FC1=CC2(F)OC2(C(F)(F)F)C1F
ep-873158 FC1=C(F)C2(F)OC2(C(F)F)C1F
ep-873159 FC1=C(F)C2(F)OC2(C(F)(F)F)C1
ep-873160 FC1=CC(F)(F)C2(C(F)(F)F)OC12
ep-873161 FC1=CC2OC2(C(F)(F)F)C1(F)F
ep-873162 FC1=C(F)C(F)(F)C2(C(F)F)OC12
ep-873163 FC1=C(F)C2OC2(C(F)(F)F)C1F
ep-873164 FC(F)(F)C12OC1(F)C#CC2(F)F
ep-873165 CC12C(F)(C(F)F)OC1(F)C2(F)F
ep-873166 FCC1(F)OC2(F)C(F)(F)C12CF
ep-873167 CC1(F)OC2(F)C(F)(F)C12C(F)F
ep-873168 CC12C(F)C1(F)OC2(F)C(F)(F)F
ep-873169 FCC12C(F)C1(F)OC2(F)C(F)F
ep-873170 FCC1(F)OC2(F)C(F)C12C(F)F
ep-873171 CC1(F)OC2(F)C(F)C12C(F)(F)F
ep-873172 FCC12CC1(F)OC2(F)C(F)(F)F
ep-873173 FC(F)C1(F)OC2(F)CC21C(F)F
ep-873174 FCC1(F)OC2(F)CC12C(F)(F)F
ep-873175 CC12C(C(F)(F)F)OC1(F)C2(F)F
ep-873176 FCC12C(C(F)F)OC1(F)C2(F)F
ep-873177 FCC1OC2(F)C(F)(F)C12C(F)F
ep-873178 CC1OC2(F)C(F)(F)C12C(F)(F)F
ep-873179 FCC12C(C(F)(F)F)OC1(F)C2F
ep-873180 FC(F)C1OC2(F)C(F)C12C(F)F
ep-873181 FCC1OC2(F)C(F)C12C(F)(F)F
ep-873182 FC(F)C12CC1(F)OC2C(F)(F)F
ep-873183 FC(F)C1OC2(F)CC12C(F)(F)F
ep-873184 CC12C(OC1(F)C(F)(F)F)C2(F)F
ep-873185 FCC12C(OC1(F)C(F)F)C2(F)F
ep-873186 FCC1(F)OC2C(F)(F)C21C(F)F
ep-873187 CC1(F)OC2C(F)(F)C21C(F)(F)F
ep-873188 FCC12C(F)C1OC2(F)C(F)(F)F
ep-873189 FC(F)C1(F)OC2C(F)C21C(F)F
ep-873190 FCC1(F)OC2C(F)C21C(F)(F)F
ep-873191 FC(F)C12CC1OC2(F)C(F)(F)F
ep-873192 FC(F)C1(F)OC2CC21C(F)(F)F
ep-873193 FCC12C(C(F)(F)F)OC1C2(F)F
ep-873194 FC(F)C1OC2C(F)(F)C12C(F)F
ep-873195 FCC1OC2C(F)(F)C12C(F)(F)F
ep-873196 FC(F)C12C(F)C1OC2C(F)(F)F
ep-873197 FC(F)C1OC2C(F)C12C(F)(F)F
ep-873198 FC(F)(F)C1OC2CC21C(F)(F)F
ep-873199 FC(F)C1(F)OC(F)(F)C2CC21F
ep-873200 FCC1(F)OC(F)(F)C2(F)CC12F
ep-873201 FCC1(F)OC(F)(F)C2C(F)C21F
ep-873202 CC1(F)OC(F)(F)C2(F)C(F)C12F
ep-873203 CC1(F)OC(F)(F)C2C(F)(F)C21F
ep-873204 FC1(F)OC(F)(C(F)(F)F)C2CC21
ep-873205 FC(F)C1(F)OC(F)(F)C2(F)CC12
ep-873206 FC1C2C1C(F)(C(F)F)OC2(F)F
ep-873207 FCC1(F)OC(F)(F)C2(F)C(F)C12
ep-873208 FCC1(F)OC(F)(F)C2C1C2(F)F
ep-873209 CC1(F)OC(F)(F)C2(F)C1C2(F)F
ep-873210 FC1OC(F)(C(F)(F)F)C2(F)CC12
ep-873211 FC1OC(F)(C(F)F)C2(F)CC12F
ep-873212 FC1OC(F)(C(F)F)C2(F)C(F)C12
ep-873213 FCC1(F)OC(F)C2(F)C(F)C12F
ep-873214 FCC1(F)OC(F)C2C(F)(F)C21F
ep-873215 CC1(F)OC(F)C2(F)C(F)(F)C12F
ep-873216 FC1OC(F)(C(F)(F)F)C2CC12F
ep-873217 FC1OC(F)(C(F)(F)F)C2C(F)C12
ep-873218 FC(F)C1(F)OC(F)C2(F)C(F)C12
ep-873219 FC1OC(F)(C(F)F)C2C1C2(F)F
ep-873220 FCC1(F)OC(F)C2(F)C1C2(F)F
ep-873221 FC(F)(F)C1(F)OCC2(F)CC21F
ep-873222 FC1C2COC(F)(C(F)(F)F)C12F
ep-873223 FC(F)C1(F)OCC2(F)C(F)C21F
ep-873224 FC(F)C1(F)OCC2C(F)(F)C21F
ep-873225 FCC1(F)OCC2(F)C(F)(F)C12F
ep-873226 FC1C2C1(F)COC2(F)C(F)(F)F
ep-873227 FC1(F)C2COC(F)(C(F)(F)F)C21
ep-873228 FC(F)C1(F)OCC2(F)C1C2(F)F
ep-873229 FC(F)(F)C1OC(F)(F)C2CC12F
ep-873230 FC(F)C1OC(F)(F)C2(F)CC12F
ep-873231 FC(F)C1OC(F)(F)C2C(F)C12F
