ep-904920 FC(F)(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-921642 FC1C(F)C1(F)CC(F)(F)OC(F)(F)F
ep-921643 FC1C(CC(F)(F)OC(F)(F)F)C1(F)F
ep-921644 FC(F)OC(F)(F)C(F)(F)C1(F)CC1F
ep-921645 FC(F)OC(F)(F)C(F)(F)C1CC1(F)F
ep-921646 FC(F)OC(F)(F)C(F)(F)C1C(F)C1F
ep-921647 FC(F)OC(F)(F)C(F)C1(F)CC1(F)F
ep-921648 FC(F)OC(F)(F)C(F)C1(F)C(F)C1F
ep-921649 FC(F)OC(F)(F)C(F)C1C(F)C1(F)F
ep-921650 FC(F)OC(F)(F)CC1(F)C(F)C1(F)F
ep-921651 FC(F)OC(F)(F)CC1C(F)(F)C1(F)F
ep-921652 FCOC(F)(F)C(F)(F)C1(F)CC1(F)F
ep-921653 FCOC(F)(F)C(F)(F)C1(F)C(F)C1F
ep-921654 FCOC(F)(F)C(F)(F)C1C(F)C1(F)F
ep-921655 FCOC(F)(F)C(F)C1(F)C(F)C1(F)F
ep-921656 FCOC(F)(F)C(F)C1C(F)(F)C1(F)F
ep-921657 FCOC(F)(F)CC1(F)C(F)(F)C1(F)F
ep-921658 COC(F)(F)C(F)(F)C1(F)C(F)C1(F)F
ep-921659 COC(F)(F)C(F)(F)C1C(F)(F)C1(F)F
ep-921660 COC(F)(F)C(F)C1(F)C(F)(F)C1(F)F
ep-921661 FC(OC(F)(F)F)C(F)(F)C1(F)CC1F
ep-921662 FC(OC(F)(F)F)C(F)(F)C1CC1(F)F
ep-921663 FC1C(F)C1C(F)(F)C(F)OC(F)(F)F
ep-921664 FC(OC(F)(F)F)C(F)C1(F)CC1(F)F
ep-921665 FC(OC(F)(F)F)C(F)C1(F)C(F)C1F
ep-921666 FC(OC(F)(F)F)C(F)C1C(F)C1(F)F
ep-921667 FC(CC1(F)C(F)C1(F)F)OC(F)(F)F
ep-921668 FC(CC1C(F)(F)C1(F)F)OC(F)(F)F
ep-921669 FC(F)OC(F)C(F)(F)C1(F)CC1(F)F
ep-921670 FC(F)OC(F)C(F)(F)C1(F)C(F)C1F
ep-921671 FC(F)OC(F)C(F)(F)C1C(F)C1(F)F
ep-921672 FC(F)OC(F)C(F)C1(F)C(F)C1(F)F
ep-921673 FC(F)OC(F)C(F)C1C(F)(F)C1(F)F
ep-921674 FC(F)OC(F)CC1(F)C(F)(F)C1(F)F
ep-921675 FCOC(F)C(F)(F)C1(F)C(F)C1(F)F
ep-921676 FCOC(F)C(F)(F)C1C(F)(F)C1(F)F
ep-921677 FCOC(F)C(F)C1(F)C(F)(F)C1(F)F
ep-921678 COC(F)C(F)(F)C1(F)C(F)(F)C1(F)F
ep-921679 FC(F)(F)OCC(F)(F)C1(F)CC1(F)F
ep-921680 FC1C(F)C1(F)C(F)(F)COC(F)(F)F
ep-921681 FC1C(C(F)(F)COC(F)(F)F)C1(F)F
ep-921682 FC(COC(F)(F)F)C1(F)C(F)C1(F)F
ep-921683 FC(COC(F)(F)F)C1C(F)(F)C1(F)F
ep-921684 FC(F)(F)OCCC1(F)C(F)(F)C1(F)F
ep-921685 FC(F)OCC(F)(F)C1(F)C(F)C1(F)F
ep-921686 FC(F)OCC(F)(F)C1C(F)(F)C1(F)F
ep-921687 FC(F)OCC(F)C1(F)C(F)(F)C1(F)F
ep-921688 FCOCC(F)(F)C1(F)C(F)(F)C1(F)F
ep-921693 FC(F)(F)OC(F)(F)C(F)(F)C1(F)CO1
ep-921694 FC1OC1C(F)(F)C(F)(F)OC(F)(F)F
ep-921695 FC1OC1(F)C(F)C(F)(F)OC(F)(F)F
ep-921696 FC(C1OC1(F)F)C(F)(F)OC(F)(F)F
ep-921697 FC(F)(F)OC(F)(F)CC1(F)OC1(F)F
ep-921698 FC(F)OC(F)(F)C(F)(F)C1(F)OC1F
ep-921699 FC(F)OC(F)(F)C(F)(F)C1OC1(F)F
ep-921700 FC(F)OC(F)(F)C(F)C1(F)OC1(F)F
ep-921701 FCOC(F)(F)C(F)(F)C1(F)OC1(F)F
ep-921702 FC(OC(F)(F)F)C(F)(F)C1(F)OC1F
ep-921703 FC(OC(F)(F)F)C(F)(F)C1OC1(F)F
ep-921704 FC(OC(F)(F)F)C(F)C1(F)OC1(F)F
ep-921705 FC(F)OC(F)C(F)(F)C1(F)OC1(F)F
ep-921706 FC(F)(F)OCC(F)(F)C1(F)OC1(F)F
ep-921707 C=C1C(F)(F)C(F)(OC(F)(F)F)C1(F)F
ep-921708 FC=C1C(F)C(F)(OC(F)(F)F)C1(F)F
ep-921709 FC(F)=C1CC(F)(OC(F)(F)F)C1(F)F
ep-921710 FC(F)=C1C(F)C(F)(OC(F)(F)F)C1F
ep-921711 FC=C1C(F)(F)C(F)(OC(F)F)C1(F)F
ep-921712 FC(F)=C1C(F)C(F)(OC(F)F)C1(F)F
ep-921713 FCOC1(F)C(F)(F)C(=C(F)F)C1(F)F
ep-921714 FC=C1C(F)(F)C(OC(F)(F)F)C1(F)F
ep-921715 FC(F)=C1C(F)C(OC(F)(F)F)C1(F)F
ep-921716 FC(F)=C1C(F)(F)C(OC(F)F)C1(F)F
ep-921717 FC(F)=C(F)C(F)(F)C1(F)OC(F)(F)O1
ep-921718 FC1(F)OC1=C1C(F)(F)C1(F)C(F)(F)F
ep-921719 FC1(F)OC1=C1C(F)(F)C(F)(F)C1(F)F
ep-921720 FC(=C1OC1(F)F)C1(F)C(F)(F)C1(F)F
ep-921721 FC1=C2OC2(F)C(F)(C(F)(F)F)C1(F)F
ep-921722 FC1=C2OC2(F)C(F)(F)C(F)(F)C1(F)F
ep-921723 FC1=C(C(F)(F)F)OC2(F)C(F)(F)C12F
ep-921724 FC1=C2OC(C(F)(F)F)(C1(F)F)C2(F)F
ep-921725 FC1=C2OC(F)(F)C(F)(C1(F)F)C2(F)F
ep-921726 FC1=C2OC(F)(C1(F)F)C(F)(F)C2(F)F
ep-921727 FC1=C2OC(F)(C2(F)F)C(F)(F)C1(F)F
ep-921728 FC1=C2C(F)(F)C2(C(F)(F)F)C(F)(F)O1
ep-921729 FC1=C2C(F)(F)C(F)(C(F)(F)O1)C2(F)F
ep-921730 FC1=C(F)C2(F)C(F)(O1)C2(F)C(F)(F)F
ep-921731 FC1=C(F)C2(F)C(F)(F)C2(F)C(F)(F)O1
ep-921732 FC1=C(F)C(F)(F)C2(F)C(F)(F)C2(F)O1
ep-921733 FC1=C(F)C2(F)C(F)(F)C2(C(F)(F)F)O1
ep-921734 FC1=C(F)C(F)(F)C2(O1)C(F)(F)C2(F)F
ep-921735 FC1=C2OC(F)(F)C2(F)C(F)(F)C1(F)F
ep-921736 FC1=C2C(F)(F)C2(F)C(F)(F)C(F)(F)O1
ep-921737 FC1=C2C(F)(F)C(F)(F)C2(F)C(F)(F)O1
ep-921738 FC1=C(F)C2(F)C(F)(F)C(F)(F)C2(F)O1
ep-921739 FC1=C2OC(F)(C1(F)F)C2(F)C(F)(F)F
ep-921740 FC1=C2OC2(C(F)(F)F)C(F)(F)C1(F)F
ep-921741 FC1=C(F)C2(F)C(F)(F)C(F)(O1)C2(F)F
ep-921742 FC1=C2C(F)(F)OC2(F)C(F)(F)C1(F)F
ep-921743 FC(=C1C2(F)OC(F)(F)C12F)C(F)(F)F
ep-921744 FC(=C1C(F)(F)C2(F)OC12F)C(F)(F)F
ep-921745 FC1=C2C(F)(F)OC(F)(C1(F)F)C2(F)F
ep-921746 FC1=C2C(F)(OC1(F)F)C2(F)C(F)(F)F
ep-921747 FC1=C2C(F)(F)C(F)(F)C2(F)OC1(F)F
ep-921748 FC1=C2C(F)(F)OC1(F)C(F)(F)C2(F)F
ep-921749 FC(F)=C1C2(F)OC1(F)C(F)(F)C2(F)F
ep-921750 FC(F)=C1C2(F)OC(F)(C(F)(F)F)C12F
ep-921751 FC(F)=C1C(F)(F)C2(C(F)(F)F)OC12F
ep-921752 FC(F)=C1C(F)(F)C2(F)OC1(F)C2(F)F
ep-921753 FC(F)=C1C(F)(F)OC2(F)C(F)(F)C12F
ep-921754 FC(F)=C1C2(F)OC(F)(F)C(F)(F)C12F
ep-921755 FC(F)=C1C(F)(F)C2(F)C(F)(F)OC12F
ep-921756 FC(F)=C1C(F)(F)C(F)(F)C2(F)OC12F
ep-921757 FC(=C1OC2(F)C(F)(F)C12F)C(F)(F)F
ep-921758 FC1=C2OC(F)(F)C1(F)C(F)(F)C2(F)F
ep-921759 FC(F)(F)C1(F)OC1=C1C(F)(F)C1(F)F
ep-921760 FC(F)(F)C1=C2OC2(F)C(F)(F)C1(F)F
ep-921761 FC1(F)OC(=C2C(F)(F)C2(F)F)C1(F)F
ep-921762 FC1=C2C(F)(F)C2(F)C(F)(C(F)(F)F)O1
ep-921763 FC(F)(F)C1=C2OC(F)(C2(F)F)C1(F)F
ep-921764 FC1=C(C(F)(F)F)C2(F)C(F)(F)C2(F)O1
ep-921765 FC1=C2C(F)(F)C(C(F)(F)F)(O1)C2(F)F
ep-921766 FC1=C2C(F)(F)C(F)(F)C(F)(O1)C2(F)F
ep-921767 FC(F)(F)C1=C2C(F)(F)C2(F)C(F)(F)O1
ep-921768 FC(F)(F)C1=C2C(F)(F)C(F)(O1)C2(F)F
ep-921769 FC1=C2C(F)(F)C(F)(O1)C2(F)C(F)(F)F
ep-921770 FC1=C2C(F)(C(F)(F)F)C2(F)C(F)(F)O1
ep-921771 FC(F)=C1OC2(C(F)(F)F)C(F)(F)C12F
ep-921772 FC(F)=C1C(F)(F)C1(F)C1(F)OC1(F)F
ep-921773 FC1=C(C(F)(F)F)C(F)(F)C2(F)OC12F
ep-921774 FC(F)=C1C(F)(F)C2(F)OC2(F)C1(F)F
ep-921775 FC(F)=C(F)C1(F)C(F)(F)C2(F)OC21F
ep-921776 FC(F)=C1C(F)(F)C2(F)OC12C(F)(F)F
ep-921777 FC1=C(F)C2(C(F)(F)F)OC2(F)C1(F)F
ep-921778 FC1=C(F)C(F)(F)C2(F)OC2(F)C1(F)F
ep-921779 FC(F)=C(F)C1(F)C2(F)OC(F)(F)C21F
ep-921780 FC(F)=C1C(F)(F)C2(F)OC(F)(F)C12F
ep-921781 FC1=C(F)C2(F)C(F)(F)OC2(F)C1(F)F
ep-921782 FC1=C(F)C2(F)OC(F)(C1(F)F)C2(F)F
ep-921783 FCOC12C(F)(F)C(F)(F)C1(F)C2(F)F
ep-921784 FC(F)OC12C(F)(F)C(F)C1(F)C2(F)F
ep-921785 FC(F)(F)OC12C(F)(F)CC1(F)C2(F)F
ep-921786 FC(F)OC12C(F)C(F)(F)C1(F)C2(F)F
ep-921787 FC1C(F)C2(OC(F)(F)F)C(F)(F)C12F
ep-921788 FC(F)(F)OC12CC(F)(F)C1(F)C2(F)F
ep-921789 FC(F)OC12C(F)C1(F)C(F)(F)C2(F)F
ep-921790 FC1C(F)(F)C2(OC(F)(F)F)C(F)C12F
ep-921791 FC1C(F)(F)C2(F)C(F)C12OC(F)(F)F
ep-921792 FC(F)(F)OC12CC1(F)C(F)(F)C2(F)F
ep-921793 FC(F)OC12C(C(F)(F)C1(F)F)C2(F)F
ep-921794 FC1C2C(F)(F)C2(OC(F)(F)F)C1(F)F
ep-921795 FC1C(F)(F)C2C(F)(F)C12OC(F)(F)F
ep-921796 FC1C2C(F)(F)C(F)(F)C12OC(F)(F)F
ep-921797 FC(F)(F)C(F)(F)C12OCC1(F)C2(F)F
ep-921798 FC(F)C(F)(F)C12OC(F)C1(F)C2(F)F
ep-921799 FCC(F)(F)C12OC(F)(F)C1(F)C2(F)F
ep-921800 FC1OC2(C(F)C(F)(F)F)C(F)(F)C12F
ep-921801 FC(F)C(F)C12OC(F)(F)C1(F)C2(F)F
ep-921802 FC(F)(F)CC12OC(F)(F)C1(F)C2(F)F
ep-921803 FC1OC2(C(F)(F)C(F)(F)F)C(F)C12F
ep-921804 FC(F)C(F)(F)C12OC(F)(F)C1(F)C2F
ep-921805 FC(C(F)(F)F)C12OC(F)(F)C1(F)C2F
ep-921806 FC(F)(F)C(F)(F)C12CC1(F)C(F)(F)O2
ep-921807 FC1OC2(C(F)(F)C(F)(F)F)C1C2(F)F
ep-921808 FC(F)C(F)(F)C12OC(F)(F)C1C2(F)F
ep-921809 FC(C(F)(F)F)C12OC(F)(F)C1C2(F)F
ep-921810 FC1C2C(F)(F)OC12C(F)(F)C(F)(F)F
ep-921811 FC1(F)COC2(C1(F)F)C(F)(F)C2(F)F
ep-921812 FC1OC2(C(F)(F)C1F)C(F)(F)C2(F)F
ep-921813 FC1(F)CC(F)(F)C2(O1)C(F)(F)C2(F)F
ep-921814 FC1OC2(C(F)C1(F)F)C(F)(F)C2(F)F
ep-921815 FC1C(F)C2(OC1(F)F)C(F)(F)C2(F)F
ep-921816 FC1(F)CC2(OC1(F)F)C(F)(F)C2(F)F
ep-921817 FC1OC2(C(F)C2(F)F)C(F)(F)C1(F)F
ep-921818 FC1C(F)(F)OC2(C(F)C2(F)F)C1(F)F
ep-921819 FC1C(F)(F)C(F)(F)OC12C(F)C2(F)F
ep-921820 FC1(F)CC12OC(F)(F)C(F)(F)C2(F)F
ep-921821 FC1C(F)C12OC(F)(F)C(F)(F)C2(F)F
ep-921822 FC1=C(F)C(F)(F)C2(OC2(F)F)C1(F)F
ep-921842 FCC12OC1(F)C(F)(F)C(F)(F)C2(F)F
ep-921843 FC1C(F)(F)C2(F)OC2(C(F)F)C1(F)F
ep-921844 FC(F)(F)C12OC1(F)C(F)(F)CC2(F)F
ep-921845 FC(F)C12OC1(F)C(F)(F)C(F)(F)C2F
ep-921846 FC1C(F)C2(C(F)(F)F)OC2(F)C1(F)F
ep-921847 FC(F)(F)C12CC(F)(F)C(F)(F)C1(F)O2
ep-921848 FC1C(F)(F)C(F)(F)C2(C(F)F)OC12F
ep-921849 FC1C(F)C2(F)OC2(C(F)(F)F)C1(F)F
ep-921850 FC1C(F)(F)C(F)C2(C(F)(F)F)OC12F
ep-921851 FC(F)(F)C12OC1(F)CC(F)(F)C2(F)F
ep-921852 FC(F)C12OC1C(F)(F)C(F)(F)C2(F)F
ep-921853 FC1C(F)(F)C2OC2(C(F)(F)F)C1(F)F
ep-921854 FC1C(F)(F)C(F)(F)C2OC12C(F)(F)F
ep-921855 FC1C2OC2(C(F)(F)F)C(F)(F)C1(F)F
ep-921856 FCC12OC(F)(C(F)(F)C1(F)F)C2(F)F
ep-921857 FC1C(F)(F)C2(C(F)F)OC1(F)C2(F)F
ep-921858 FC(F)(F)C12OC(F)(CC1(F)F)C2(F)F
ep-921859 FC(F)C12OC(F)(C(F)(F)C1F)C2(F)F
ep-921860 FC1C(F)C2(C(F)(F)F)OC1(F)C2(F)F
ep-921861 FC(F)(F)C12CC(F)(F)C(F)(O1)C2(F)F
ep-921862 FC(F)C12OC(C(F)(F)C1(F)F)C2(F)F
ep-921863 FC1C2OC(C(F)(F)F)(C1(F)F)C2(F)F
ep-921864 FC1C(F)(F)C2OC1(C(F)(F)F)C2(F)F
ep-921865 FC(F)C12OC(F)(C1F)C(F)(F)C2(F)F
ep-921866 FC1C2(F)OC(C(F)(F)F)(C2F)C1(F)F
ep-921867 FC1C(F)(F)C2(F)OC1(C(F)(F)F)C2F
ep-921868 FC1C2OC1(C(F)(F)F)C(F)(F)C2(F)F
ep-921869 FC(F)(F)C12CC(F)(O1)C(F)(F)C2(F)F
ep-921870 FC1(F)C(F)(F)C(F)(F)C2(CO2)C1(F)F
ep-921871 FC1C(F)(F)C(F)(F)C2(OC2F)C1(F)F
ep-921872 FC1(F)CC(F)(F)C2(OC2(F)F)C1(F)F
ep-921873 FC1OC12C(F)C(F)(F)C(F)(F)C2(F)F
ep-921874 FC1C(F)C2(OC2(F)F)C(F)(F)C1(F)F
ep-921875 FC1(F)CC2(OC2(F)F)C(F)(F)C1(F)F
ep-921876 FC1C(F)C(F)(F)C2(OC2(F)F)C1(F)F
ep-921877 FC1C(F)(F)C(F)C2(OC2(F)F)C1(F)F
ep-921878 FC1C(F)(F)C(F)(F)C(F)C12OC2(F)F
ep-921891 FC(F)(F)C(F)(F)C12CC(F)(F)C1(F)O2
ep-921892 FC(F)C(F)(F)C12OC1(F)C(F)(F)C2F
ep-921893 FCC(F)(F)C12OC1(F)C(F)(F)C2(F)F
ep-921894 FC(C(F)(F)F)C12OC1(F)C(F)(F)C2F
ep-921895 FC(F)C(F)C12OC1(F)C(F)(F)C2(F)F
ep-921896 FC(F)(F)CC12OC1(F)C(F)(F)C2(F)F
ep-921897 FC1C(F)C2(C(F)(F)C(F)(F)F)OC12F
ep-921898 FC(F)C(F)(F)C12OC1(F)C(F)C2(F)F
ep-921899 FC1C(F)(F)C2(C(F)C(F)(F)F)OC12F
ep-921900 FC(F)(F)C(F)(F)C12OC1(F)CC2(F)F
ep-921901 FC1C(F)(F)C2OC12C(F)(F)C(F)(F)F
ep-921902 FC(F)C(F)(F)C12OC1C(F)(F)C2(F)F
ep-921903 FC(C(F)(F)F)C12OC1C(F)(F)C2(F)F
ep-921904 FC1C2OC2(C(F)(F)C(F)(F)F)C1(F)F
ep-921905 FC1(F)CC2(OC(F)(F)C2(F)F)C1(F)F
ep-921906 FC1OC2(C(F)C(F)(F)C2(F)F)C1(F)F
ep-921907 FC1(F)COC12C(F)(F)C(F)(F)C2(F)F
ep-921908 FC1C(F)(F)OC12C(F)C(F)(F)C2(F)F
ep-921909 FC1OC2(C1F)C(F)(F)C(F)(F)C2(F)F
ep-921910 FC1(F)CC2(O1)C(F)(F)C(F)(F)C2(F)F
ep-921911 FC1C(F)C2(OC(F)(F)C2(F)F)C1(F)F
ep-921912 FC1OC2(C1(F)F)C(F)(F)C(F)C2(F)F
ep-921913 FC1C(F)(F)C2(OC(F)(F)C2F)C1(F)F
ep-921914 FC1(F)CC(F)(F)C12OC(F)(F)C2(F)F
ep-921915 FC1C(F)(F)C(F)C12OC(F)(F)C2(F)F
ep-921919 FC(F)(F)C(F)(F)C12OC1(C(F)(F)F)O2
ep-921920 FC(F)(F)C(F)(F)C12OC(F)(F)C1(F)O2
ep-921924 FC(F)(F)C(F)(F)C1(F)OC2(F)CC21F
ep-921925 FC(F)C(F)(F)C1(F)OC2(F)C(F)C21F
ep-921926 FCC(F)(F)C1(F)OC2(F)C(F)(F)C12F
ep-921927 FC(C(F)(F)F)C1(F)OC2(F)C(F)C12F
ep-921928 FC(F)C(F)C1(F)OC2(F)C(F)(F)C12F
ep-921929 FC(F)(F)CC1(F)OC2(F)C(F)(F)C12F
ep-921930 FC1C2OC(F)(C(F)(F)C(F)(F)F)C12F
ep-921931 FC(F)C(F)(F)C1(F)OC2C(F)(F)C21F
ep-921932 FC(C(F)(F)F)C1(F)OC2C(F)(F)C21F
ep-921933 FC1C2C1(F)OC2(F)C(F)(F)C(F)(F)F
ep-921934 FC(F)C(F)(F)C1(F)OC2(F)C1C2(F)F
ep-921935 FC(C(F)(F)F)C1(F)OC2(F)C1C2(F)F
ep-921936 FC1(F)C2OC(F)(C(F)(F)C(F)(F)F)C21
ep-921937 FC1C2(F)OC(C(F)(F)C(F)(F)F)C12F
ep-921938 FC(F)C(F)(F)C1OC2(F)C(F)(F)C12F
ep-921939 FC(C1OC2(F)C(F)(F)C12F)C(F)(F)F
ep-921940 FC(F)(F)C(F)(F)C1OC2C(F)(F)C12F
ep-921941 FC(F)(F)C(F)(F)C1OC2(F)C1C2(F)F
ep-921942 FC(F)(F)C1(F)OC1(F)C1(F)CC1(F)F
ep-921943 FC(F)C1(F)OC1(F)C1(F)C(F)C1(F)F
ep-921944 FCC1(F)OC1(F)C1(F)C(F)(F)C1(F)F
ep-921945 FC1C(F)(F)C1(F)C1(F)OC1C(F)(F)F
ep-921946 FC(F)C1OC1(F)C1(F)C(F)(F)C1(F)F
ep-921947 FC1C(F)C1(F)C1(F)OC1(F)C(F)(F)F
ep-921948 FC1C(C2(F)OC2(F)C(F)(F)F)C1(F)F
ep-921949 FC(F)C1(F)OC1(F)C1C(F)(F)C1(F)F
ep-921950 FC(F)(F)C1OC1(F)C1C(F)(F)C1(F)F
ep-921951 FC1C(F)(F)C1(F)C1OC1(F)C(F)(F)F
ep-921952 FC(F)C1(F)OC1C1(F)C(F)(F)C1(F)F
ep-921953 FC(F)(F)C1OC1C1(F)C(F)(F)C1(F)F
ep-921954 FC(F)(F)C1(F)OC1C1C(F)(F)C1(F)F
ep-921955 FC1(F)CC1(F)C1(F)OC(F)(F)C1(F)F
ep-921956 FC1OC(F)(C2(F)C(F)C2(F)F)C1(F)F
ep-921957 FC1(F)COC1(F)C1(F)C(F)(F)C1(F)F
ep-921958 FC1C(F)(F)OC1(F)C1(F)C(F)C1(F)F
ep-921959 FC1OC(F)(C2(F)C(F)(F)C2(F)F)C1F
ep-921960 FC1(F)CC(F)(C2(F)C(F)(F)C2(F)F)O1
ep-921961 FC1C(F)C1(F)C1(F)OC(F)(F)C1(F)F
ep-921962 FC1C(C2(F)OC(F)(F)C2(F)F)C1(F)F
ep-921963 FC1OC(F)(C2C(F)(F)C2(F)F)C1(F)F
ep-921964 FC1C(F)(F)OC1(F)C1C(F)(F)C1(F)F
ep-921965 FC1C(F)(F)C1(F)C1OC(F)(F)C1(F)F
ep-921966 FC1OC(C2(F)C(F)(F)C2(F)F)C1(F)F
ep-921967 FC1C(C2(F)C(F)(F)C2(F)F)OC1(F)F
ep-921968 FC1(F)OC(C2C(F)(F)C2(F)F)C1(F)F
ep-921981 FCC1(C(F)(F)F)C(F)(F)C2(F)OC21F
ep-921982 FC(F)C1(C(F)F)C(F)(F)C2(F)OC21F
ep-921983 FC(F)C1(C(F)(F)F)C(F)C2(F)OC21F
ep-921984 FC(F)(F)C1(C(F)(F)F)CC2(F)OC21F
ep-921985 FC(F)C1(C(F)(F)F)C2OC2(F)C1(F)F
ep-921986 FC1C2(F)OC2C1(C(F)(F)F)C(F)(F)F
ep-921987 FC(F)C1(C(F)(F)F)C(F)(F)C2OC21F
ep-921988 FC1C2OC2(F)C1(C(F)(F)F)C(F)(F)F
ep-921989 FC(F)(F)C1(C(F)(F)F)C2OC2C1(F)F
ep-921990 FCC12C(F)(F)OC(F)(C1(F)F)C2(F)F
ep-921991 FC(F)C12C(F)OC(F)(C1(F)F)C2(F)F
ep-921992 FC(F)(F)C12COC(F)(C1(F)F)C2(F)F
ep-921993 FC(F)C12C(F)C(F)(OC1(F)F)C2(F)F
ep-921994 FC1OC2(F)C(F)C1(C(F)(F)F)C2(F)F
ep-921995 FC(F)(F)C12CC(F)(OC1(F)F)C2(F)F
ep-921996 FC1C2(F)OC(F)(F)C1(C(F)(F)F)C2F
ep-921997 FC(F)C12C(F)(F)OC(C1(F)F)C2(F)F
ep-921998 FC1OC2C(F)(F)C1(C(F)(F)F)C2(F)F
ep-921999 FC1C2OC(F)(F)C1(C(F)(F)F)C2(F)F
ep-922005 FCC1(C2(F)OC2(F)F)C(F)(F)C1(F)F
ep-922006 FC(F)C1(C2(F)OC2(F)F)C(F)C1(F)F
ep-922007 FC(F)(F)C1(C2(F)OC2(F)F)CC1(F)F
ep-922008 FC1C(F)C1(C(F)(F)F)C1(F)OC1(F)F
ep-922009 FC(F)C1(C2OC2(F)F)C(F)(F)C1(F)F
ep-922010 FC1C(F)(F)C1(C1OC1(F)F)C(F)(F)F
ep-922011 FC1OC1(F)C1(C(F)F)C(F)(F)C1(F)F
ep-922012 FC1OC1(F)C1(C(F)(F)F)C(F)C1(F)F
ep-922013 FC1OC1C1(C(F)(F)F)C(F)(F)C1(F)F
ep-922014 FC(F)(F)C1(C2(F)CO2)C(F)(F)C1(F)F
ep-922015 FCC12C(F)(F)C(F)(F)OC1(F)C2(F)F
ep-922016 FC(F)C12C(F)C1(F)OC(F)(F)C2(F)F
ep-922017 FC(F)(F)C12CC1(F)OC(F)(F)C2(F)F
ep-922018 FC(F)C12C(OC(F)(F)C1(F)F)C2(F)F
ep-922019 FC1C2OC(F)(F)C(F)(F)C12C(F)(F)F
ep-922020 FC(F)C12C(F)C(F)(F)OC1(F)C2(F)F
ep-922021 FC1C(F)(F)OC2(F)C(F)C12C(F)(F)F
ep-922022 FC1C(F)(F)OC2C(F)(F)C12C(F)(F)F
ep-922023 FC1(F)CC2(C(F)(F)F)C(F)(F)C2(F)O1
ep-922024 FC1OC2(F)C(F)(F)C2(C(F)F)C1(F)F
ep-922025 FC1OC2(F)C(F)C2(C(F)(F)F)C1(F)F
ep-922026 FC1OC2C(F)(F)C2(C(F)(F)F)C1(F)F
ep-922027 FC1OC2(F)C(F)(F)C2(C(F)(F)F)C1F
ep-922028 FC(F)(F)C12C(F)(F)COC1(F)C2(F)F
ep-922029 FC1(F)OCC2(C1(F)F)C(F)(F)C2(F)F
ep-922030 FC1OC(F)(F)C(F)(F)C12C(F)C2(F)F
ep-922031 FC1(F)CC12C(F)(F)OC(F)(F)C2(F)F
ep-922032 FC1C(F)C12C(F)(F)OC(F)(F)C2(F)F
ep-922033 FC1OC(F)(F)C(F)C12C(F)(F)C2(F)F
ep-922034 FC1C(F)(F)OC(F)(F)C12C(F)C2(F)F
ep-922035 FC1(F)CC2(C(F)(F)O1)C(F)(F)C2(F)F
ep-922036 FC1OC(F)C2(C1(F)F)C(F)(F)C2(F)F
ep-922037 FC1OC(F)(F)C2(C(F)C2(F)F)C1(F)F
ep-922038 FC1OC(F)(F)C2(C1F)C(F)(F)C2(F)F
ep-922039 FC1(F)COC(F)(F)C12C(F)(F)C2(F)F
ep-922040 FC(F)(F)C1(F)C(F)(F)C2(F)OCC21F
ep-922041 FC(F)C1(F)C(F)(F)C2(F)OC(F)C21F
ep-922042 FCC1(F)C(F)(F)C2(F)OC(F)(F)C12F
ep-922043 FC1OC2(F)C1C(F)(C(F)(F)F)C2(F)F
ep-922044 FC(F)C1(F)C2C(F)(F)OC2(F)C1(F)F
ep-922045 FC1OC2(F)C(F)(F)C(C(F)(F)F)C12F
ep-922046 FC(F)C1C(F)(F)C2(F)OC(F)(F)C12F
ep-922047 FC(F)(F)C1C2C(F)(F)OC2(F)C1(F)F
ep-922048 FC1C2(F)OC(F)C2(F)C1(F)C(F)(F)F
ep-922049 FC(F)C1(F)C(F)C2(F)OC(F)(F)C21F
ep-922050 FC1C2(F)OC(F)(F)C2C1(F)C(F)(F)F
ep-922051 FC1C(C(F)(F)F)C2(F)C(F)(F)OC12F
ep-922052 FC(F)(F)C1(F)CC2(F)OC(F)(F)C21F
ep-922053 FC1OC2C(F)(F)C(F)(C(F)(F)F)C12F
ep-922054 FC(F)C1(F)C(F)(F)C2OC(F)(F)C21F
ep-922055 FC1(F)OC2C1C(F)(C(F)(F)F)C2(F)F
ep-922056 FC(F)(F)C1C(F)(F)C2OC(F)(F)C21F
ep-922057 FC1C2OC(F)(F)C2(F)C1(F)C(F)(F)F
ep-922058 FC1(F)COC2(F)C(F)(F)C1(F)C2(F)F
ep-922059 FC1OC2(F)C(F)C(F)(C1(F)F)C2(F)F
ep-922060 FC1(F)OC2(F)CC(F)(C1(F)F)C2(F)F
ep-922061 FC1OC2(F)C(F)(F)C(F)(C1F)C2(F)F
ep-922062 FC1C(F)(F)OC2(F)C(F)C1(F)C2(F)F
ep-922063 FC1(F)CC2(F)C(F)(F)C(F)(O1)C2(F)F
ep-922064 FC1OC2(F)C(F)(F)C(C1(F)F)C2(F)F
ep-922065 FC1C2C(F)(F)C(F)(F)OC1(F)C2(F)F
ep-922066 FC1C2C(F)(F)C(F)(OC1(F)F)C2(F)F
ep-922067 FC1C2(F)OC(F)(F)C(F)(F)C1(F)C2F
ep-922068 FC1OC2C(F)(F)C(F)(C1(F)F)C2(F)F
ep-922069 FC1C2OC(F)(F)C(F)(F)C1(F)C2(F)F
